49,51,95,51,95,69,49,69,text
85,97,177,97,177,120,85,120,text
185,96,210,96,210,119,185,119,text
102,127,169,127,169,148,102,148,text
177,126,204,126,204,149,177,149,text
31,159,122,159,122,176,31,176,text
19,187,59,187,59,206,19,206,text
101,51,152,51,152,72,101,72,text
157,53,256,53,256,74,157,74,text
10,247,113,247,113,260,10,260,text
184,247,220,247,220,259,184,259,text
10,261,118,261,118,272,10,272,text
183,261,221,261,221,273,183,273,text
10,274,118,274,118,284,10,284,text
176,274,221,274,221,284,176,284,text
10,286,131,286,131,299,10,299,text
184,285,222,285,222,298,184,298,text
11,309,81,309,81,323,11,323,text
15,365,23,365,23,377,15,377,text
50,365,86,365,86,377,50,377,text
14,378,50,378,50,389,14,389,text
13,391,81,391,81,402,13,402,text
103,390,164,390,164,401,103,401,text
14,403,67,403,67,414,14,414,text
115,403,151,403,151,414,115,414,text
29,415,115,415,115,428,29,428,text
115,437,184,437,184,450,115,450,text
235,365,282,365,282,377,235,377,text
236,379,281,379,281,392,236,392,text
