97,28,285,28,285,71,97,71,text
293,29,469,29,469,72,293,72,text
228,76,271,76,271,93,228,93,text
273,77,295,77,295,94,273,94,text
297,77,338,77,338,93,297,93,text
106,96,177,96,177,112,106,112,text
180,96,193,96,193,111,180,111,text
197,96,228,96,228,112,197,112,text
230,97,348,97,348,112,230,112,text
350,97,380,97,380,112,350,112,text
381,96,412,96,412,112,381,112,text
414,94,458,94,458,113,414,113,text
250,115,318,115,318,130,250,130,text
101,135,189,135,189,151,101,151,text
100,156,151,156,151,172,100,172,text
153,155,185,155,185,170,153,170,text
188,155,220,155,220,171,188,171,text
222,156,269,156,269,172,222,172,text
271,155,324,155,324,171,271,171,text
359,154,403,154,403,171,359,171,text
406,154,464,154,464,169,406,169,text
100,472,196,472,196,492,100,492,text
200,473,228,473,228,491,200,491,text
369,474,380,474,380,492,369,492,text
393,473,407,473,407,492,393,492,text
418,472,464,472,464,493,418,493,text
101,339,197,339,197,359,101,359,text
201,340,237,340,237,358,201,358,text
370,341,381,341,381,359,370,359,text
394,340,408,340,408,359,394,359,text
419,339,465,339,465,360,419,360,text
101,366,197,366,197,386,101,386,text
201,367,229,367,229,385,201,385,text
370,368,381,368,381,386,370,386,text
394,367,408,367,408,386,394,386,text
419,366,465,366,465,387,419,387,text
101,393,197,393,197,413,101,413,text
200,394,230,394,230,412,200,412,text
370,395,381,395,381,413,370,413,text
394,394,408,394,408,413,394,413,text
419,393,465,393,465,414,419,414,text
101,420,197,420,197,440,101,440,text
201,421,267,421,267,439,201,439,text
370,422,381,422,381,440,370,440,text
394,421,408,421,408,440,394,440,text
419,420,465,420,465,441,419,441,text
101,312,197,312,197,332,101,332,text
201,313,245,313,245,331,201,331,text
370,314,381,314,381,332,370,332,text
394,313,408,313,408,332,394,332,text
419,312,465,312,465,333,419,333,text
101,204,197,204,197,224,101,224,text
201,205,253,205,253,223,201,223,text
370,206,381,206,381,224,370,224,text
394,205,408,205,408,224,394,224,text
419,204,465,204,465,225,419,225,text
101,231,197,231,197,251,101,251,text
200,257,227,257,227,275,200,275,text
370,233,381,233,381,251,370,251,text
394,232,408,232,408,251,394,251,text
419,231,465,231,465,252,419,252,text
101,258,197,258,197,278,101,278,text
201,259,239,259,239,277,201,277,text
370,260,381,260,381,278,370,278,text
394,259,408,259,408,278,394,278,text
419,258,465,258,465,279,419,279,text
101,285,197,285,197,305,101,305,text
201,286,253,286,253,304,201,304,text
370,287,381,287,381,305,370,305,text
394,286,408,286,408,305,394,305,text
419,285,465,285,465,306,419,306,text
101,447,197,447,197,467,101,467,text
201,448,260,448,260,466,201,466,text
370,449,381,449,381,467,370,467,text
394,448,408,448,408,467,394,467,text
419,447,465,447,465,468,419,468,text
201,232,228,232,228,250,201,250,text
336,510,464,510,464,532,336,532,text
315,541,464,541,464,564,315,564,text
365,566,467,566,467,586,365,586,text
118,704,127,704,127,717,118,717,text
148,705,159,705,159,717,148,717,text
180,705,191,705,191,718,180,718,text
210,706,222,706,222,719,210,719,text
242,705,255,705,255,718,242,718,text
276,705,285,705,285,719,276,719,text
309,704,318,704,318,719,309,719,text
340,705,351,705,351,718,340,718,text
369,704,384,704,384,717,369,717,text
404,704,415,704,415,716,404,716,text
438,704,446,704,446,715,438,715,text
159,727,199,727,199,741,159,741,text
359,724,404,724,404,742,359,742,text
332,724,357,724,357,742,332,742,text
170,744,191,744,191,759,170,759,text
286,745,390,745,390,759,286,759,text
208,744,231,744,231,759,208,759,text
253,744,270,744,270,758,253,758,text
234,746,251,746,251,758,234,758,text
271,745,283,745,283,758,271,758,text
193,746,206,746,206,759,193,759,text
284,726,330,726,330,740,284,740,text
271,727,283,727,283,740,271,740,text
220,726,268,726,268,743,220,743,text
202,726,218,726,218,740,202,740,text
