122,4,212,4,212,25,122,25,text
84,51,161,51,161,63,84,63,text
166,52,210,52,210,65,166,65,text
214,51,251,51,251,64,214,64,text
81,66,130,66,130,79,81,79,text
137,67,211,67,211,82,137,82,text
220,67,256,67,256,79,220,79,text
46,83,90,83,90,97,46,97,text
94,82,130,82,130,97,94,97,text
137,85,194,85,194,96,137,96,text
203,84,222,84,222,95,203,95,text
227,82,253,82,253,96,227,96,text
258,81,286,81,286,96,258,96,text
97,100,167,100,167,112,97,112,text
170,98,194,98,194,111,170,111,text
202,98,237,98,237,110,202,110,text
122,114,211,114,211,127,122,127,text
63,164,115,164,115,177,63,177,text
121,166,156,166,156,178,121,178,text
160,166,184,166,184,177,160,177,text
188,164,213,164,213,178,188,178,text
220,164,271,164,271,177,220,177,text
90,179,123,179,123,193,90,193,text
128,180,198,180,198,194,128,194,text
202,180,255,180,255,193,202,193,text
25,230,119,230,119,244,25,244,text
28,248,79,248,79,260,28,260,text
83,247,134,247,134,259,83,259,text
142,246,208,246,208,260,142,260,text
214,246,249,246,249,260,214,260,text
28,262,96,262,96,276,28,276,text
28,278,144,278,144,291,28,291,text
150,278,202,278,202,292,150,292,text
28,294,64,294,64,307,28,307,text
27,323,78,323,78,337,27,337,text
232,324,310,324,310,337,232,337,text
271,230,308,230,308,243,271,243,text
271,246,307,246,307,259,271,259,text
274,261,309,261,309,273,274,273,text
273,277,310,277,310,291,273,291,text
273,293,308,293,308,306,273,306,text
31,386,81,386,81,400,31,400,text
88,385,125,385,125,398,88,398,text
129,386,150,386,150,399,129,399,text
153,386,212,386,212,398,153,398,text
218,385,236,385,236,398,218,398,text
241,387,279,387,279,398,241,398,text
283,387,308,387,308,398,283,398,text
107,402,204,402,204,414,107,414,text
211,402,231,402,231,415,211,415,text
64,416,119,416,119,430,64,430,text
128,417,197,417,197,429,128,429,text
203,417,279,417,279,430,203,430,text
74,448,110,448,110,462,74,462,text
115,448,135,448,135,462,115,462,text
141,448,169,448,169,461,141,461,text
174,448,199,448,199,462,174,462,text
207,447,256,447,256,460,207,460,text
89,529,248,529,248,540,89,540,text
