47,56,123,56,123,66,47,66,text
105,96,153,96,153,107,105,107,text
158,95,199,95,199,106,158,106,text
49,57,301,57,301,156,49,156,text
212,87,252,87,252,97,212,97,text
68,123,93,123,93,137,68,137,text
97,123,157,123,157,137,97,137,text
159,122,208,122,208,137,159,137,text
79,140,112,140,112,151,79,151,text
114,139,186,139,186,153,114,153,text
192,139,209,139,209,151,192,151,text
13,178,52,178,52,191,13,191,text
62,178,111,178,111,191,62,191,text
207,178,276,178,276,190,207,190,text
211,193,273,193,273,206,211,206,text
211,208,246,208,246,222,211,222,text
13,194,58,194,58,206,13,206,text
63,194,102,194,102,207,63,207,text
13,238,31,238,31,250,13,250,text
35,238,67,238,67,250,35,250,text
71,238,104,238,104,250,71,250,text
15,251,24,251,24,262,15,262,text
29,251,72,251,72,264,29,264,text
78,251,109,251,109,263,78,263,text
112,250,150,250,150,264,112,264,text
13,284,79,284,79,295,13,295,text
14,296,45,296,45,308,14,308,text
213,239,251,239,251,250,213,250,text
214,252,253,252,253,264,214,264,text
206,283,252,283,252,295,206,295,text
214,296,252,296,252,309,214,309,text
14,320,44,320,44,332,14,332,text
51,320,65,320,65,332,51,332,text
72,319,108,319,108,331,72,331,text
205,319,249,319,249,331,205,331,text
205,332,248,332,248,344,205,344,text
14,333,151,333,151,343,14,343,text
18,345,86,345,86,355,18,355,text
14,357,94,357,94,368,14,368,text
203,356,249,356,249,369,203,369,text
31,374,67,374,67,386,31,386,text
71,373,97,373,97,387,71,387,text
101,372,165,372,165,385,101,385,text
171,374,187,374,187,386,171,386,text
193,374,215,374,215,386,193,386,text
220,373,253,373,253,386,220,386,text
255,373,279,373,279,386,255,386,text
28,388,41,388,41,400,28,400,text
43,389,67,389,67,402,43,402,text
71,389,95,389,95,402,71,402,text
102,388,121,388,121,403,102,403,text
128,389,151,389,151,402,128,402,text
157,388,186,388,186,402,157,402,text
193,388,251,388,251,402,193,402,text
