68,43,160,43,160,60,68,60,text
214,40,281,40,281,60,214,60,text
65,343,193,343,193,365,65,365,text
67,378,153,378,153,400,67,400,text
68,217,161,217,161,233,68,233,text
64,259,127,259,127,277,64,277,text
222,259,275,259,275,277,222,277,text
224,217,275,217,275,235,224,235,text
237,239,281,239,281,256,237,256,text
68,237,111,237,111,255,68,255,text
68,73,126,73,126,86,68,86,text
130,73,206,73,206,86,130,86,text
67,89,99,89,99,102,67,102,text
105,89,158,89,158,102,105,102,text
168,88,189,88,189,103,168,103,text
71,117,170,117,170,131,71,131,text
68,133,115,133,115,147,68,147,text
206,119,269,119,269,131,206,131,text
175,119,189,119,189,129,175,129,text
69,161,133,161,133,177,69,177,text
138,165,153,165,153,174,138,174,text
159,161,198,161,198,177,159,177,text
205,162,278,162,278,178,205,178,text
204,133,278,133,278,148,204,148,text
