26,531,81,531,81,550,26,550,text
31,489,65,489,65,510,31,510,text
68,38,101,38,101,57,68,57,text
106,38,163,38,163,58,106,58,text
168,37,233,37,233,57,168,57,text
47,62,95,62,95,79,47,79,text
99,66,201,66,201,80,99,80,text
205,62,253,62,253,81,205,81,text
178,81,199,81,199,94,178,94,text
116,106,173,106,173,118,116,118,text
89,81,167,81,167,96,89,96,text
12,108,75,108,75,118,12,118,text
13,122,47,122,47,133,13,133,text
13,138,42,138,42,148,13,148,text
48,137,75,137,75,149,48,149,text
82,137,110,137,110,148,82,148,text
115,137,146,137,146,148,115,148,text
232,151,254,151,254,165,232,165,text
12,152,34,152,34,165,12,165,text
64,152,94,152,94,164,64,164,text
13,178,26,178,26,188,13,188,text
65,177,117,177,117,188,65,188,text
14,191,21,191,21,202,14,202,text
14,204,21,204,21,214,14,214,text
14,217,21,217,21,227,14,227,text
13,230,22,230,22,240,13,240,text
64,230,106,230,106,240,64,240,text
220,230,255,230,255,240,220,240,text
64,217,134,217,134,228,64,228,text
62,204,85,204,85,215,62,215,text
63,191,86,191,86,201,63,201,text
89,191,125,191,125,202,89,202,text
130,190,165,190,165,202,130,202,text
90,204,138,204,138,216,90,216,text
214,177,257,177,257,188,214,188,text
220,190,255,190,255,201,220,201,text
221,204,256,204,256,214,221,214,text
220,216,255,216,255,226,220,226,text
174,297,234,297,234,313,174,313,text
49,299,80,299,80,313,49,313,text
48,317,144,317,144,331,48,331,text
49,338,108,338,108,349,49,349,text
48,352,73,352,73,363,48,363,text
48,368,99,368,99,379,48,379,text
193,338,237,338,237,348,193,348,text
199,353,236,353,236,364,199,364,text
195,367,234,367,234,379,195,379,text
80,403,152,403,152,416,80,416,text
156,403,221,403,221,417,156,417,text
38,421,104,421,104,434,38,434,text
177,420,221,420,221,433,177,433,text
38,437,103,437,103,448,38,448,text
38,451,102,451,102,463,38,463,text
178,436,220,436,220,448,178,448,text
178,451,220,451,220,464,178,464,text
